0000         1
0001       324       323
0002       329         5
0003       340        11
0004       350        10
0005       357         7
0007       363         6
0008       365         2
0009       373         8
0011       381         8
0012       391        10
0013       393         2
0014       398         5
0016       403         5
0023       406         3
0024       417        11
0025       440        23
0026       450        10
0029       464        14
0031       467         3
0035       479        12
0039       480         1
0047       492        12
0051       496         4
0066       500         4
0068       504         4
0072       505         1
0076       516        11
0078       530        14
0079       531         1
0085       557        26
0087       558         1
0088       559         1
0089       560         1
0090       561         1
0100       562         1
0121       571         9
0122       583        12
0127       588         5
0166       592         4
0182       596         4
0183       604         8
0195       607         3
0197       608         1
0202       617         9
0203       628        11
0217       636         8
0219       642         6
0220       643         1
0221       644         1
0222       645         1
0223       646         1
0225       647         1
0226       651         4
0227       652         1
0228       653         1
0229       654         1
0230       655         1
0271       656         1
0272       657         1
0273       668        11
0274       675         7
0275       679         4
0277       680         1
0282       681         1
0288       682         1
0289       683         1
0290       684         1
0291       685         1
0292       686         1
0296       687         1
0297       700        13
0299       714        14
0301       715         1
0304       716         1
0305       717         1
0307       725         8
0316       740        15
0321       764        24
0332       788        24
0333       794         6
1001       801         7
1002       860        59
1003       868         8
1004       896        28
1005       898         2
1006       899         1
1007       903         4
1008       918        15
1009       920         2
1010       922         2
1011       934        12
1012       946        12
1013       958        12
1014       982        24
1015      1043        61
1016      1116        73
1017      1143        27
1018      1156        13
1019      1172        16
1020      1186        14
1021      1194         8
1022      1196         2
1023      1197         1
1024      1199         2
1025      1204         5
1026      1211         7
1027      1212         1
1028      1213         1
1029      1218         5
1030      1220         2
1031      1224         4
1032      1225         1
1033      1227         2
1034      1230         3
1035      1231         1
1036      1232         1
1037      1237         5
1038      1243         6
1039      1250         7
1040      1257         7
1041      1266         9
1042      1272         6
1043      1274         2
1044      1282         8
1045      1285         3
1046      1289         4
1047      1294         5
1048      1297         3
1049      1304         7
1050      1311         7
1051      1316         5
1052      1320         4
1053      1321         1
1054      1322         1
1055      1324         2
1056      1325         1
1057      1326         1
1058      1329         3
1059      1331         2
1060      1337         6
1061      1340         3
1062      1342         2
1064      1343         1
1065      1351         8
1066      1357         6
1067      1364         7
1068      1371         7
1069      1375         4
1070      1376         1
1071      1379         3
1072      1381         2
1073      1384         3
1074      1386         2
1075      1387         1
1076      1392         5
1077      1393         1
1078      1397         4
1079      1398         1
1080      1399         1
1081      1400         1
1082      1401         1
1083      1402         1
1084      1403         1
1085      1413        10
1086      1417         4
1087      1421         4
1088      1422         1
1089      1429         7
1090      1440        11
1091      1443         3
1092      1444         1
1093      1445         1
1094      1448         3
1095      1450         2
1096      1491        41
1097      1524        33
1098      1583        59
1099      1642        59
1100      1701        59
1101      1781        80
1103      1889       108
1104      1890         1
1105      1891         1
1106      1892         1
1107      1893         1
1108      1894         1
1109      1895         1
1110      1896         1
1111      1897         1
1112      1898         1
1114      1899         1
1115      1900         1
1116      1901         1
1118      1902         1
1119      1903         1
1120      1904         1
1121      1905         1
1122      1906         1
1123      1907         1
1124      1908         1
1125      1909         1
1126      1910         1
1127      1911         1
1128      1912         1
1129      1913         1
1130      1914         1
1131      1915         1
1132      1916         1
1134      1917         1
1135      1918         1
1136      1919         1
1137      1920         1
1138      1921         1
1139      1922         1
1140      1923         1
1141      1924         1
1142      1925         1
1144      1926         1
1145      1927         1
1146      1928         1
1147      1929         1
1148      1930         1
1149      1931         1
1150      1932         1
1151      1933         1
1152      1934         1
1153      1935         1
1154      1936         1
1155      1937         1
1158      1938         1
1159      1939         1
1160      1940         1
1162      1941         1
1163      1942         1
1164      1943         1
1165      1944         1
1166      1945         1
1167      1946         1
1168      1995        49
1171      1996         1
1172      1997         1
1173      1998         1
1174      1999         1
1175      2000         1
1176      2001         1
1178      2002         1
1185      2018        16
1186      2038        20
1187      2143       105
1188      2152         9
1189      2156         4
1190      2163         7
1191      2331       168
1192      2362        31
1193      2495       133
1194      2622       127
1195      2703        81
1196      2848       145
1197      2977       129
1198      2978         1
1199      2979         1
1200      2980         1
1201      2981         1
1202      3031        50
1203      3121        90
1204      3229       108
1205      3337       108
1206      3367        30
1207      3397        30
1208      3427        30
1209      3457        30
1210      3487        30
1211      3517        30
1212      3547        30
1213      3577        30
1214      3616        39
1215      3655        39
1216      3694        39
1217      3733        39
1218      3772        39
1219      3821        49
1220      3870        49
1221      3909        39
1222      3926        17
1223      3942        16
1224      3958        16
1225      3972        14
1226      3986        14
1227      4000        14
1301      4014        14
1302      4189       175
1303      4364       175
1304      4539       175
1305      4714       175
1306      4889       175
1307      5064       175
1308      5239       175
1309      5414       175
1310      5589       175
1311      5764       175
1312      5939       175
1313      6114       175
1314      6289       175
1315      6464       175
9001      6639       175
9002      6669        30
9003      6730        61
9004      6917       187
9005      7017       100
9006      7022         5
9007      7023         1
9008      7026         3
9009      7030         4
9010      7043        13
9011      7059        16
9012      7100        41
9013      7127        27
9014      7134         7
9015      7149        15
9016      7161        12
9017      7209        48
9021      7332       123
9022      7418        86
9023      7439        21
9024      7483        44
9025      7504        21
9026      7584        80
9027      7637        53
9028      7771       134
9029      7839        68
9030      7843         4
9031      7847         4
9032      7849         2
9033      7852         3
9034      7860         8
9035      7865         5
9036      7872         7
9037      7878         6
9038      7879         1
9039      7883         4
9040      7884         1
9041      7886         2
9042      7890         4
9043      7892         2
9044      7894         2
9046      7896         2
9047      7901         5
