UTME    UTMN    DICT
306     2772    0101
305     2772    0101
304     2772    0101
305     2771    0101
304     2774    0101
304     2771    0101
305     2774    0101
306     2773    0101
304     2773    0101
305     2773    0101
305     2769    0102
306     2767    0102
308     2769    0102
305     2768    0102
307     2768    0102
307     2769    0102
306     2769    0102
306     2768    0102
307     2771    0102
305     2770    0102
307     2770    0102
306     2770    0102
306     2771    0102
303     2768    0103
303     2769    0103
302     2769    0103
304     2768    0103
305     2767    0103
304     2769    0103
304     2770    0103
303     2770    0103
302     2767    0104
301     2768    0104
302     2768    0104
303     2767    0104
301     2769    0104
300     2769    0104
304     2767    0104
301     2770    0104
300     2770    0104
302     2770    0104
301     2771    0104
299     2767    0105
300     2768    0105
298     2767    0105
299     2769    0105
298     2769    0105
298     2768    0105
299     2768    0105
299     2770    0105
300     2774    0106
301     2772    0106
301     2774    0106
300     2771    0106
300     2773    0106
301     2773    0106
300     2772    0106
304     2775    0107
303     2772    0107
303     2771    0107
303     2774    0107
302     2772    0107
303     2775    0107
303     2773    0107
302     2771    0107
302     2773    0107
302     2774    0107
308     2773    0108
308     2775    0108
311     2775    0108
310     2773    0108
309     2772    0108
307     2773    0108
308     2774    0108
305     2776    0108
309     2773    0108
309     2778    0108
309     2777    0108
310     2777    0108
310     2772    0108
310     2775    0108
309     2774    0108
306     2775    0108
308     2778    0108
311     2773    0108
309     2775    0108
307     2777    0108
311     2776    0108
307     2774    0108
308     2776    0108
311     2772    0108
310     2774    0108
309     2776    0108
305     2775    0108
308     2772    0108
307     2772    0108
310     2776    0108
308     2777    0108
307     2776    0108
306     2774    0108
306     2776    0108
307     2775    0108
311     2774    0108
311     2769    0109
308     2768    0109
314     2769    0109
310     2768    0109
312     2768    0109
309     2769    0109
309     2768    0109
313     2769    0109
310     2769    0109
311     2768    0109
312     2769    0109
308     2771    0109
308     2770    0109
310     2771    0109
309     2771    0109
311     2770    0109
310     2770    0109
309     2770    0109
308     2762    0110
307     2762    0110
306     2762    0110
309     2762    0110
310     2762    0110
308     2763    0110
306     2765    0110
304     2766    0110
305     2763    0110
305     2764    0110
309     2764    0110
309     2766    0110
307     2765    0110
305     2766    0110
308     2764    0110
308     2765    0110
309     2765    0110
306     2763    0110
309     2763    0110
308     2766    0110
303     2765    0110
304     2765    0110
306     2764    0110
306     2766    0110
307     2766    0110
308     2767    0110
304     2764    0110
303     2766    0110
305     2765    0110
307     2764    0110
307     2767    0110
307     2763    0110
302     2775    0111
301     2775    0111
304     2778    0111
305     2778    0111
298     2777    0111
297     2777    0111
304     2777    0111
306     2779    0111
302     2776    0111
302     2777    0111
303     2778    0111
303     2776    0111
300     2776    0111
307     2779    0111
309     2779    0111
302     2778    0111
299     2776    0111
308     2779    0111
298     2778    0111
306     2777    0111
302     2779    0111
303     2779    0111
306     2778    0111
303     2777    0111
300     2775    0111
296     2777    0111
295     2778    0111
305     2779    0111
301     2777    0111
304     2776    0111
307     2778    0111
305     2777    0111
301     2776    0111
304     2779    0111
308     2781    0111
307     2780    0111
305     2783    0111
306     2785    0111
305     2780    0111
303     2780    0111
307     2786    0111
305     2782    0111
307     2785    0111
304     2781    0111
309     2780    0111
306     2780    0111
307     2781    0111
306     2784    0111
308     2784    0111
303     2781    0111
308     2780    0111
307     2783    0111
309     2781    0111
307     2784    0111
306     2781    0111
306     2783    0111
307     2787    0111
306     2782    0111
308     2782    0111
307     2782    0111
304     2780    0111
308     2783    0111
306     2786    0111
305     2781    0111
299     2779    0112
297     2779    0112
300     2778    0112
298     2779    0112
301     2778    0112
299     2777    0112
301     2779    0112
300     2779    0112
299     2778    0112
297     2778    0112
296     2778    0112
300     2777    0112
296     2779    0112
298     2781    0112
304     2787    0112
303     2782    0112
297     2780    0112
301     2780    0112
300     2781    0112
297     2781    0112
298     2780    0112
296     2780    0112
305     2788    0112
299     2782    0112
299     2780    0112
303     2783    0112
302     2785    0112
304     2785    0112
306     2787    0112
303     2786    0112
302     2782    0112
302     2780    0112
300     2780    0112
304     2784    0112
300     2782    0112
298     2782    0112
305     2786    0112
305     2785    0112
302     2784    0112
302     2781    0112
300     2784    0112
301     2783    0112
303     2784    0112
302     2783    0112
299     2784    0112
301     2782    0112
300     2783    0112
305     2787    0112
299     2781    0112
305     2784    0112
301     2781    0112
301     2784    0112
304     2782    0112
299     2783    0112
303     2785    0112
304     2783    0112
304     2786    0112
175     2502    0201
175     2503    0201
172     2502    0202
173     2502    0202
172     2504    0202
173     2504    0202
175     2504    0202
174     2503    0202
174     2504    0202
173     2503    0202
174     2502    0202
177     2506    0202
175     2507    0202
174     2506    0202
172     2506    0202
172     2507    0202
173     2506    0202
176     2506    0202
172     2505    0202
175     2506    0202
174     2505    0202
174     2507    0202
173     2505    0202
173     2507    0202
176     2507    0202
175     2505    0202
174     2508    0203
175     2508    0203
177     2508    0203
177     2510    0203
176     2509    0203
175     2510    0203
174     2509    0203
174     2510    0203
175     2509    0203
176     2508    0203
174     2511    0203
176     2511    0203
173     2509    0203
172     2511    0203
177     2507    0203
177     2511    0203
173     2510    0203
172     2510    0203
176     2510    0203
178     2509    0203
178     2507    0203
178     2508    0203
178     2510    0203
179     2509    0203
173     2508    0203
177     2509    0203
174     2513    0204
173     2512    0204
174     2512    0204
179     2512    0204
172     2512    0204
175     2511    0204
175     2513    0204
175     2512    0204
177     2512    0204
176     2512    0204
178     2511    0204
173     2511    0204
178     2512    0204
173     2513    0204
179     2514    0204
177     2513    0204
179     2515    0204
174     2514    0204
179     2513    0204
176     2513    0204
180     2514    0204
175     2514    0204
178     2513    0204
181     2516    0204
180     2516    0204
180     2515    0204
176     2514    0204
177     2514    0204
180     2517    0204
178     2514    0204
179     2504    0205
176     2504    0205
181     2504    0205
178     2504    0205
180     2504    0205
180     2507    0205
180     2505    0205
181     2505    0205
178     2506    0205
179     2505    0205
176     2505    0205
178     2505    0205
179     2506    0205
180     2506    0205
177     2505    0205
179     2508    0205
